date,cost
2024-08-04 16:10:49.388132,310.36299188591465
2024-08-05 16:10:49.388132,336.535488670136
2024-08-06 16:10:49.388132,307.24358213523976
2024-08-07 16:10:49.388132,356.13919365251877
2024-08-08 16:10:49.388132,288.21569043960767
2024-08-09 16:10:49.388132,288.0107130468367
2024-08-10 16:10:49.388132,323.257314412675
2024-08-11 16:10:49.388132,350.14550074408044
2024-08-12 16:10:49.388132,377.5575635949338
2024-08-13 16:10:49.388132,372.4004753495859
2024-08-14 16:10:49.388132,361.3155918721258
2024-08-15 16:10:49.388132,290.4546933556369
2024-08-16 16:10:49.388132,268.22964412238167
2024-08-17 16:10:49.388132,280.419529534593
2024-08-18 16:10:49.388132,269.86586308670405
2024-08-19 16:10:49.388132,271.86819543090536
2024-08-20 16:10:49.388132,302.60534253049883
2024-08-21 16:10:49.388132,302.8187683104789
2024-08-22 16:10:49.388132,318.16502684211935
2024-08-23 16:10:49.388132,280.378757371267
2024-08-24 16:10:49.388132,294.9838554555445
2024-08-25 16:10:49.388132,254.2574590746875
2024-08-26 16:10:49.388132,392.6585980384686
2024-08-27 16:10:49.388132,343.44170778002655
2024-08-28 16:10:49.388132,349.48103017991247
2024-08-29 16:10:49.388132,303.8309478547698
2024-08-30 16:10:49.388132,280.9808788813614
2024-08-31 16:10:49.388132,196.5629581952022
2024-09-01 16:10:49.388132,334.55667300615727
2024-09-02 16:10:49.388132,369.2856795071079
2024-09-03 16:10:49.388132,318.94581947511995
2024-09-04 16:10:49.388132,353.40542222957424
2024-09-05 16:10:49.388132,319.3623696269301
2024-09-06 16:10:49.388132,325.2452330232252
2024-09-07 16:10:49.388132,391.06420400432006
2024-09-08 16:10:49.388132,363.918177315592
2024-09-09 16:10:49.388132,368.8156282599771
2024-09-10 16:10:49.388132,377.1241019683491
2024-09-11 16:10:49.388132,346.16155757047204
2024-09-12 16:10:49.388132,364.44350943325577
2024-09-13 16:10:49.388132,359.8216093482147
2024-09-14 16:10:49.388132,327.1672880969761
2024-09-15 16:10:49.388132,337.47610855634116
2024-09-16 16:10:49.388132,322.5846053596008
2024-09-17 16:10:49.388132,361.7270421168424
2024-09-18 16:10:49.388132,353.49572260004834
2024-09-19 16:10:49.388132,321.5684404218008
2024-09-20 16:10:49.388132,305.6881622728009
2024-09-21 16:10:49.388132,307.376799133697
2024-09-22 16:10:49.388132,322.27092800720584
2024-09-23 16:10:49.388132,312.4856073200408
2024-09-24 16:10:49.388132,340.7668586158977
2024-09-25 16:10:49.388132,341.5380240620303
2024-09-26 16:10:49.388132,292.4121797705159
2024-09-27 16:10:49.388132,313.58268827743393
2024-09-28 16:10:49.388132,302.1106295112778
2024-09-29 16:10:49.388132,306.6111273725148
2024-09-30 16:10:49.388132,382.52177992864273
2024-10-01 16:10:49.388132,355.8182166030573
2024-10-02 16:10:49.388132,377.1000989970824
2024-10-03 16:10:49.388132,374.32375795242194
2024-10-04 16:10:49.388132,365.0089985800322
2024-10-05 16:10:49.388132,358.39852980172225
2024-10-06 16:10:49.388132,371.430866187029
2024-10-07 16:10:49.388132,381.32548053830766
2024-10-08 16:10:49.388132,415.64775459659506
2024-10-09 16:10:49.388132,372.6657057730559
2024-10-10 16:10:49.388132,339.095705594919
2024-10-11 16:10:49.388132,477.8530290113472
2024-10-12 16:10:49.388132,411.81035244519336
2024-10-13 16:10:49.388132,305.6612330920868
2024-10-14 16:10:49.388132,367.2118738183332
2024-10-15 16:10:49.388132,477.2614179672976
2024-10-16 16:10:49.388132,431.2231954569628
2024-10-17 16:10:49.388132,332.46462676208614
2024-10-18 16:10:49.388132,325.61595548492
2024-10-19 16:10:49.388132,354.562868589845
2024-10-20 16:10:49.388132,364.1851251482799
2024-10-21 16:10:49.388132,406.7414055626979
2024-10-22 16:10:49.388132,378.1774417176067
2024-10-23 16:10:49.388132,346.45518057678186
2024-10-24 16:10:49.388132,292.35693087250604
2024-10-25 16:10:49.388132,308.7793361593096
2024-10-26 16:10:49.388132,339.39567378181096
2024-10-27 16:10:49.388132,342.2634788615649
2024-10-28 16:10:49.388132,379.9380952043086
2024-10-29 16:10:49.388132,368.0822715686412
2024-10-30 16:10:49.388132,384.1673958760715
2024-10-31 16:10:49.388132,336.3600926944566
2024-11-01 16:10:49.388132,336.42913191902875
2024-11-02 16:10:49.388132,337.84824576340856
2024-11-03 16:10:49.388132,368.5988282767912
2024-11-04 16:10:49.388132,390.0816170363867
2024-11-05 16:10:49.388132,367.79531010832665
2024-11-06 16:10:49.388132,386.7719880694816
2024-11-07 16:10:49.388132,378.689076353163
2024-11-08 16:10:49.388132,332.1466771589257
2024-11-09 16:10:49.388132,384.9103863309374
2024-11-10 16:10:49.388132,362.4493402271476
2024-11-11 16:10:49.388132,396.29612361648066
2024-11-12 16:10:49.388132,408.13974522658486
2024-11-13 16:10:49.388132,398.31164487052587
2024-11-14 16:10:49.388132,346.4255908428203
2024-11-15 16:10:49.388132,368.8007381815588
2024-11-16 16:10:49.388132,324.672827221473
2024-11-17 16:10:49.388132,326.203712012315
2024-11-18 16:10:49.388132,406.18935289504486
2024-11-19 16:10:49.388132,380.07730141913487
2024-11-20 16:10:49.388132,335.0680949071202
2024-11-21 16:10:49.388132,294.533815442167
2024-11-22 16:10:49.388132,316.32413131205396
2024-11-23 16:10:49.388132,319.6331516897155
2024-11-24 16:10:49.388132,323.8454425309325
2024-11-25 16:10:49.388132,318.1841292028727
2024-11-26 16:10:49.388132,371.8866155531651
2024-11-27 16:10:49.388132,380.5102825194289
2024-11-28 16:10:49.388132,333.64623341445196
2024-11-29 16:10:49.388132,346.1051729738544
2024-11-30 16:10:49.388132,324.03507833399334
2024-12-01 16:10:49.388132,395.469307561656
2024-12-02 16:10:49.388132,322.61681003285554
2024-12-03 16:10:49.388132,533.8441910481836
2024-12-04 16:10:49.388132,371.9458796309476
2024-12-05 16:10:49.388132,356.6485684845425
2024-12-06 16:10:49.388132,350.97406603838004
2024-12-07 16:10:49.388132,406.8373051732192
2024-12-08 16:10:49.388132,369.28137624947107
2024-12-09 16:10:49.388132,410.8217061637016
2024-12-10 16:10:49.388132,384.64944412145076
2024-12-11 16:10:49.388132,381.47788785307097
2024-12-12 16:10:49.388132,364.7431148638738
2024-12-13 16:10:49.388132,359.0868762459753
2024-12-14 16:10:49.388132,346.4723993089056
2024-12-15 16:10:49.388132,438.98553496537016
2024-12-16 16:10:49.388132,370.3672844027007
2024-12-17 16:10:49.388132,338.9405405428688
